"","rowname","clp1_log2FoldChange","clp1_padj","clp2_log2FoldChange","clp2_padj"
"1","AT1G01010","-0.0107013671542539","0.963961542787409","-0.224744820275075","0.0447614058582016"
"2","AT1G01020","0.00903920716429612","0.97184842977871","0.0465430238803232","0.735897947422461"
"3","AT1G01030","0.00209221185666837","0.988171741389988","-0.0981049037818522","0.544775326944161"
"4","AT1G01040","-0.00196513249496391","0.994156437972636","0.00719762787729852","0.941924819432683"
"5","AT1G01050","0.00758715734704216","0.967819973804748","0.0715172125593974","0.316304482341855"
"6","AT1G01060","-0.0064924800472432","0.959230047159514","0.027397222488802","0.886693952970987"
"7","AT1G01070","0.00278566481132502","0.985769299547868","-0.192468598679364","0.223489848397199"
"8","AT1G01080","-0.000429675063350309","0.999955209452316","0.269044738098443","0.0135851696254168"
"9","AT1G01090","0.00722867940670701","0.984178662205024","0.144218150338668","0.180373061301952"
"10","AT1G01100","0.00411905873963584","0.969290805150173","0.0675443455461466","0.490377464108922"
"11","AT1G01110","-0.00222507899438585","0.988171741389988","0.00700234766566242","0.972393456733184"
"12","AT1G01120","-0.267824962185067","0.192307189824703","-0.592456530000088","1.73890472264075e-06"
"13","AT1G01130","0.00124246495426945","0.990116243726033","0.0281924814139462","0.875319699800367"
"14","AT1G01140","0.00892518257746887","0.966935601966151","0.17283662161405","0.1614436861577"
"15","AT1G01160","0.0132222820950384","0.97184842977871","-0.0206283294179596","0.844799632481316"
"16","AT1G01170","-0.00161263683561565","0.994378163573917","0.197943036989358","0.0697920453266361"
"17","AT1G01180","-0.226219317843017","0.248047612613927","-0.21357410372173","0.0646863896405196"
"18","AT1G01190","-0.00428565649822695","0.848706884469715","-2.19051760549047","1.00856951344513e-07"
"19","AT1G01200","-0.00236041766271563","0.982554076008521","-0.0254966690913678","0.883289726291345"
"20","AT1G01210","0.00554049558054908","0.984854787078981","0.0898990231387231","0.413720451317577"
"21","AT1G01220","-0.00279121254020303","0.988171741389988","0.0131641673038261","0.922776057325422"
"22","AT1G01225","-0.00293872296169572","0.981492298909235","-0.0347053459241746","0.847429390187254"
"23","AT1G01230","-0.00182250650131639","0.994156437972636","0.011641777104575","0.93497179492409"
"24","AT1G01240","-0.00421845434452274","0.984178662205024","-0.429715274283573","0.00424063324696173"
"25","AT1G01250","0.00144421062101144","0.983465274022575","0.75739232207329","0.0367885071246682"
"26","AT1G01260","-0.000503561748222199","0.998328956099086","-0.0674323246160787","0.616159987791669"
"27","AT1G01290","0.0035251222624459","0.990152775671305","0.0650904509005181","0.565322413776628"
"28","AT1G01300","-0.00527345531229303","0.985769299547868","0.21680522830849","0.0172794508903673"
"29","AT1G01310","-0.00113019914676749","0.966935601966151","-0.0265668379733483","0.692337032135387"
"30","AT1G01320","0.00222078344173601","0.989522179402774","0.229934329140122","0.0550329448741854"
"31","AT1G01340","-0.000398255610717109","0.999955209452316","0.00153728791723184","0.995396695216205"
"32","AT1G01350","-0.0188042813814498","0.957536088576296","-0.0985609069047827","0.265565127102384"
"33","AT1G01355","-0.000440424769671775","0.994378163573917","2.51765057365229","1.57651387213145e-13"
